video_name,timestamp_seconds,timestamp_hhmmss,real_timestamp_hhmmss,frame_number,person_count,bicycle_count,car_count,motorcycle_count,bus_count,truck_count,traffic_light_count,total_vehicle_count,total_road_user_count
Whole Day 1 - Fri 24th Apr.mov,0,0:00:00,13:30:00,0,0,0,6,0,0,2,1,8,8
Whole Day 1 - Fri 24th Apr.mov,10,0:00:10,13:30:10,299,0,0,9,0,0,2,0,11,11
Whole Day 1 - Fri 24th Apr.mov,20,0:00:20,13:30:20,598,1,0,2,0,0,1,1,3,4
Whole Day 1 - Fri 24th Apr.mov,30,0:00:30,13:30:30,898,0,0,6,0,1,1,0,8,8
Whole Day 1 - Fri 24th Apr.mov,40,0:00:40,13:30:40,1197,1,0,6,0,0,1,1,7,8
Whole Day 1 - Fri 24th Apr.mov,50,0:00:50,13:30:50,1496,0,0,8,0,0,2,0,10,10
Whole Day 1 - Fri 24th Apr.mov,60,0:01:00,13:31:00,1796,0,0,8,0,0,2,1,10,10
Whole Day 1 - Fri 24th Apr.mov,70,0:01:10,13:31:10,2095,0,0,8,0,1,2,0,11,11
Whole Day 1 - Fri 24th Apr.mov,80,0:01:20,13:31:20,2395,1,0,6,1,0,1,0,8,9
Whole Day 1 - Fri 24th Apr.mov,90,0:01:30,13:31:30,2694,0,0,12,0,1,3,1,16,16
Whole Day 1 - Fri 24th Apr.mov,100,0:01:40,13:31:40,2993,0,0,16,0,0,1,0,17,17
Whole Day 1 - Fri 24th Apr.mov,110,0:01:50,13:31:50,3293,0,0,8,0,0,0,0,8,8
Whole Day 1 - Fri 24th Apr.mov,120,0:02:00,13:32:00,3592,0,0,4,0,0,3,2,7,7
Whole Day 1 - Fri 24th Apr.mov,130,0:02:10,13:32:10,3892,0,0,10,0,0,1,1,11,11
Whole Day 1 - Fri 24th Apr.mov,140,0:02:20,13:32:20,4191,0,0,4,0,0,2,0,6,6
Whole Day 1 - Fri 24th Apr.mov,150,0:02:30,13:32:30,4490,0,0,4,0,0,2,0,6,6
Whole Day 1 - Fri 24th Apr.mov,160,0:02:40,13:32:40,4790,0,0,10,0,0,0,0,10,10
Whole Day 1 - Fri 24th Apr.mov,170,0:02:50,13:32:50,5089,0,0,12,0,0,0,0,12,12
Whole Day 1 - Fri 24th Apr.mov,180,0:03:00,13:33:00,5389,0,0,6,0,0,2,0,8,8
Whole Day 1 - Fri 24th Apr.mov,190,0:03:10,13:33:10,5688,0,0,6,0,0,1,1,7,7
Whole Day 1 - Fri 24th Apr.mov,200,0:03:20,13:33:20,5987,0,0,4,0,0,2,0,6,6
Whole Day 1 - Fri 24th Apr.mov,210,0:03:30,13:33:30,6287,1,0,6,0,0,2,0,8,9
Whole Day 1 - Fri 24th Apr.mov,220,0:03:40,13:33:40,6586,1,0,6,0,0,2,0,8,9
Whole Day 1 - Fri 24th Apr.mov,230,0:03:50,13:33:50,6886,0,0,4,0,0,2,0,6,6
Whole Day 1 - Fri 24th Apr.mov,240,0:04:00,13:34:00,7185,3,0,4,0,1,1,1,6,9
Whole Day 1 - Fri 24th Apr.mov,250,0:04:10,13:34:10,7484,0,0,7,0,0,1,0,8,8
