Metric,Value
Test rows,1116.0
Fixed-cycle green intervals,558.0
Adaptive green intervals,811.0
Fixed-cycle wasted green intervals,178.0
Adaptive wasted green intervals,62.0
Wasted green reduction (%),65.169
Fixed-cycle missed high-demand intervals,231.0
Adaptive missed high-demand intervals,0.0
Missed high-demand reduction (%),100.0
Fixed-cycle total penalty,640.0
Adaptive total penalty,62.0
Total penalty reduction (%),90.312
RF Test MAE,18.713
RF Test RMSE,25.31
RF Test R2,0.823
