DayLabel,avg_total_traffic,avg_vehicle_traffic,avg_pedestrian_traffic
Whole Day 1 - Fri 24th Apr.mov,7.175673898750822,6.473635765943459,0.6969099276791584
Whole Day 2 - Mon 27th Apr.mov,5.270476190476191,4.712380952380952,0.5552380952380952
Whole Day 3 - Tues 28th Apr.mov,4.880894308943089,4.447560975609756,0.4211382113821138
