time_of_day_minutes,person_count,bicycle_count,car_count,motorcycle_count,bus_count,truck_count,total_vehicle_count,total_road_user_count,traffic_light_count,buses_trucks
810,0.5444444444444444,0.0,5.222222222222222,0.022222222222222223,0.12222222222222222,0.5111111111111112,5.877777777777777,6.422222222222222,0.7444444444444445,0.6333333333333334
815,0.35555555555555557,0.0,5.644444444444445,0.03333333333333333,0.18888888888888888,0.3777777777777778,6.2444444444444445,6.599999999999999,0.5333333333333333,0.5666666666666667
820,0.48888888888888893,0.011111111111111112,4.766666666666667,0.022222222222222223,0.08888888888888889,0.4888888888888889,5.366666666666667,5.866666666666667,0.5,0.5777777777777777
825,0.43333333333333335,0.0,4.811111111111111,0.011111111111111112,0.09999999999999999,0.5555555555555556,5.477777777777778,5.911111111111111,0.611111111111111,0.6555555555555556
830,0.41111111111111115,0.0,4.366666666666666,0.011111111111111112,0.10000000000000002,0.45555555555555555,4.933333333333334,5.344444444444444,0.8111111111111112,0.5555555555555556
835,0.4444444444444444,0.0,5.444444444444444,0.0,0.1111111111111111,0.45555555555555555,6.01111111111111,6.455555555555556,0.5555555555555556,0.5666666666666667
840,0.6222222222222222,0.011111111111111112,5.422222222222222,0.03333333333333333,0.17777777777777778,0.4222222222222222,6.055555555555556,6.688888888888889,0.6999999999999998,0.6
845,0.6111111111111112,0.011111111111111112,5.222222222222222,0.03333333333333333,0.10000000000000002,0.3666666666666667,5.722222222222221,6.344444444444445,0.8222222222222223,0.46666666666666673
850,0.41111111111111104,0.022222222222222223,4.2555555555555555,0.022222222222222223,0.06666666666666667,0.37777777777777777,4.722222222222222,5.155555555555556,0.8222222222222223,0.4444444444444444
855,0.6777777777777777,0.0,4.388888888888889,0.0,0.07777777777777778,0.5222222222222223,4.988888888888889,5.666666666666667,0.6888888888888888,0.6000000000000001
860,0.6777777777777777,0.022222222222222223,4.211111111111111,0.03333333333333333,0.044444444444444446,0.25555555555555554,4.544444444444444,5.2444444444444445,0.8555555555555556,0.3
865,0.4222222222222222,0.0,4.733333333333333,0.0,0.03333333333333333,0.09999999999999999,4.866666666666667,5.288888888888889,0.9111111111111111,0.13333333333333333
870,0.9777777777777777,0.0,4.8,0.011111111111111112,0.05555555555555556,0.2888888888888889,5.155555555555556,6.133333333333333,0.8555555555555556,0.3444444444444445
875,0.5888888888888889,0.011111111111111112,5.077777777777778,0.011111111111111112,0.05555555555555555,0.2111111111111111,5.355555555555555,5.955555555555556,0.6333333333333334,0.26666666666666666
880,0.5555555555555556,0.0,4.466666666666667,0.0,0.12222222222222222,0.14444444444444443,4.733333333333333,5.288888888888889,0.3666666666666667,0.26666666666666666
885,0.4777777777777778,0.0,4.7555555555555555,0.022222222222222223,0.1111111111111111,0.09999999999999999,4.988888888888889,5.466666666666666,0.3333333333333333,0.21111111111111108
890,0.5555555555555556,0.044444444444444446,4.2,0.011111111111111112,0.05555555555555555,0.14444444444444446,4.411111111111111,5.011111111111111,0.4222222222222222,0.2
895,0.43333333333333335,0.0,4.777777777777778,0.0,0.05555555555555555,0.2333333333333333,5.066666666666666,5.5,0.37777777777777777,0.28888888888888886
900,0.5888888888888889,0.011111111111111112,4.177777777777778,0.0,0.07777777777777778,0.10000000000000002,4.355555555555555,4.955555555555556,0.39999999999999997,0.1777777777777778
905,0.43333333333333335,0.0,4.833333333333333,0.0,0.06666666666666667,0.15555555555555556,5.055555555555556,5.488888888888888,0.5222222222222223,0.2222222222222222
910,0.5222222222222223,0.011111111111111112,4.555555555555556,0.011111111111111112,0.044444444444444446,0.09999999999999999,4.711111111111111,5.2444444444444445,0.3444444444444445,0.14444444444444443
915,0.9333333333333332,0.0,5.266666666666667,0.011111111111111112,0.03333333333333333,0.11111111111111112,5.422222222222222,6.355555555555555,0.7111111111111111,0.14444444444444446
920,0.5777777777777778,0.011111111111111112,5.144444444444445,0.0,0.05555555555555556,0.14444444444444446,5.344444444444444,5.933333333333334,0.5333333333333333,0.2
925,0.4777777777777778,0.011111111111111112,4.822222222222222,0.011111111111111112,0.09999999999999999,0.27777777777777773,5.211111111111111,5.699999999999999,0.5888888888888889,0.3777777777777777
930,0.6444444444444444,0.0,5.277777777777778,0.022222222222222223,0.08888888888888889,0.12222222222222223,5.51111111111111,6.155555555555556,0.5444444444444444,0.21111111111111114
935,0.5,0.011111111111111112,5.133333333333334,0.011111111111111112,0.05555555555555556,0.13333333333333333,5.333333333333333,5.844444444444444,0.4444444444444445,0.18888888888888888
940,0.811111111111111,0.022222222222222223,4.8,0.06666666666666667,0.12222222222222223,0.07777777777777778,5.066666666666666,5.8999999999999995,0.6333333333333333,0.2
945,0.5222222222222223,0.011111111111111112,4.644444444444445,0.011111111111111112,0.044444444444444446,0.19999999999999998,4.8999999999999995,5.433333333333334,0.5777777777777778,0.24444444444444444
950,0.3111111111111111,0.0,5.2,0.05555555555555555,0.08888888888888889,0.24444444444444446,5.588888888888889,5.8999999999999995,0.5555555555555555,0.33333333333333337
955,0.39999999999999997,0.0,4.922222222222222,0.09999999999999999,0.08888888888888889,0.19999999999999998,5.311111111111111,5.711111111111111,0.6222222222222222,0.28888888888888886
960,0.5222222222222223,0.0,4.522222222222222,0.03333333333333333,0.05555555555555555,0.3666666666666667,4.977777777777778,5.5,0.45555555555555555,0.4222222222222223
965,0.6777777777777777,0.011111111111111112,5.066666666666666,0.022222222222222223,0.10000000000000002,0.5333333333333333,5.722222222222222,6.411111111111111,0.5333333333333333,0.6333333333333333
970,0.5111111111111111,0.0,4.7555555555555555,0.08888888888888889,0.06666666666666667,0.35555555555555557,5.266666666666667,5.777777777777778,0.5444444444444444,0.4222222222222222
975,0.45555555555555555,0.022222222222222223,5.166666666666667,0.08888888888888889,0.03333333333333333,0.2111111111111111,5.5,5.977777777777778,0.32222222222222224,0.24444444444444444
980,0.5444444444444444,0.011111111111111112,4.9111111111111105,0.03333333333333333,0.022222222222222223,0.10000000000000002,5.066666666666666,5.622222222222223,0.4444444444444444,0.12222222222222225
985,0.35,0.0,5.683333333333334,0.08333333333333333,0.06666666666666667,0.2833333333333333,6.116666666666667,6.466666666666667,0.6333333333333333,0.35
990,0.43333333333333335,0.0,5.316666666666666,0.016666666666666666,0.016666666666666666,0.13333333333333333,5.4833333333333325,5.916666666666666,0.8333333333333333,0.15
995,0.7333333333333334,0.0,3.9833333333333334,0.05,0.18333333333333332,0.08333333333333334,4.3,5.033333333333333,0.7333333333333334,0.26666666666666666
1000,1.1730769230769231,0.0,4.343589743589744,0.09358974358974359,0.03333333333333333,0.11538461538461539,4.585897435897436,5.758974358974359,0.8243589743589744,0.14871794871794872
1005,0.43333333333333335,0.0,4.366666666666666,0.0,0.03333333333333333,0.23333333333333334,4.633333333333334,5.066666666666666,0.9666666666666667,0.26666666666666666
1010,0.7,0.0,5.35,0.05,0.05,0.1,5.55,6.25,1.1,0.15000000000000002
