TimeLabel,Actual,Predicted
00:00,42.333333333333336,41.51320804321975
00:15,45.25,41.94437459916403
00:30,38.75,42.27022998031824
00:45,38.333333333333336,41.90460502578333
01:00,44.5,42.63568004305987
01:15,38.833333333333336,42.68803206610473
01:30,42.416666666666664,42.65822521055629
01:45,44.416666666666664,42.960066625014086
02:00,41.0,42.582040500479486
02:15,41.083333333333336,42.9714457315927
02:30,38.333333333333336,42.66086981882712
02:45,43.166666666666664,43.519130708676975
03:00,45.166666666666664,42.49487217940311
03:15,47.25,44.25071402565796
03:30,42.083333333333336,45.068734005312365
03:45,40.583333333333336,57.58154683279588
04:00,110.83333333333333,107.11265087368035
04:15,113.41666666666667,106.88362060193231
04:30,122.25,117.20805801974761
04:45,110.5,123.49504547712819
05:00,115.75,117.20124293325024
05:15,116.08333333333333,125.79380967919825
05:30,123.41666666666667,133.5052827093764
05:45,182.75,135.79334362897288
06:00,194.08333333333334,173.18819964332351
06:15,174.91666666666666,174.44454702391135
06:30,173.9090909090909,174.3030993526101
06:45,176.36363636363637,175.83261345267286
07:00,174.91666666666666,177.76618493970997
07:15,182.1,173.54646584132536
07:30,177.41666666666666,176.63315287748154
07:45,180.9090909090909,176.27473450576542
08:00,176.0,172.50810203403512
08:15,180.0909090909091,177.06211517453553
08:30,182.1,173.62287375434005
08:45,178.72727272727272,174.688317635413
09:00,128.41666666666666,131.0074835205952
09:15,118.22222222222223,131.4646141666629
09:30,108.81818181818181,112.69752127714978
09:45,119.18181818181819,118.74394983541497
10:00,133.375,119.42411050562542
10:15,121.55555555555556,113.74448712825856
10:30,129.5,108.46767278249256
10:45,99.22222222222223,117.1586391742447
11:00,97.25,103.76476171157971
11:15,90.58333333333333,102.2566505956953
11:30,91.58333333333333,101.95530002974614
11:45,95.08333333333333,101.14906419261969
12:00,101.25,100.12404148061864
12:15,96.41666666666667,99.09056574053216
12:30,98.66666666666667,100.15516207721016
12:45,94.41666666666667,98.21606372393192
13:00,118.3076923076923,108.69692996086775
13:15,149.08333333333334,119.4634188079258
13:30,147.08333333333334,133.3415353809224
13:45,137.54545454545453,133.7395515282049
14:00,112.8,135.5109417802823
14:15,136.5,124.5640327348155
14:30,115.36363636363636,125.39310822861408
14:45,136.8181818181818,128.46281758710188
15:00,129.75,137.2314988848603
15:15,107.6,133.840040733002
15:30,131.55555555555554,128.0391236548738
15:45,191.0,130.40543165315108
16:00,187.6153846153846,178.26821979354634
16:15,182.07692307692307,179.25607991125136
16:30,190.15384615384616,179.84327602376075
16:45,183.07692307692307,179.06671524286736
17:00,177.0,180.91929650333768
17:15,184.08333333333334,182.2341244648528
17:30,189.92307692307693,179.65083908913218
17:45,188.83333333333334,181.61720020984444
18:00,187.92307692307693,168.04806554391632
18:15,189.75,158.80482708108008
18:30,120.5,150.31057093635903
18:45,140.75,130.70667817539166
19:00,131.72727272727272,126.75125222475108
19:15,129.5,125.04032261962107
19:30,125.0,121.06404817186056
19:45,124.81818181818181,120.03004994802495
20:00,118.6,116.43213472770917
20:15,117.16666666666667,118.80972382623223
20:30,125.63636363636364,118.48004522480373
20:45,129.8,117.52587808923349
21:00,120.83333333333333,117.80635536674714
21:15,123.0909090909091,119.65373336616821
21:30,127.54545454545455,99.79113129425073
21:45,42.166666666666664,94.51668867840503
22:00,46.15384615384615,43.535730124429534
22:15,38.61538461538461,43.336179273986204
22:30,46.38461538461539,43.239271397302
22:45,44.69230769230769,42.74174374107812
23:00,43.30769230769231,42.361298703664374
23:15,44.92307692307692,42.05601403489243
23:30,40.38461538461539,42.618442413823075
23:45,44.916666666666664,42.052657412924304
