Actual,Predicted
95.0,107.4225956892787
115.0,101.05110919219092
176.0,104.83021160378321
89.0,139.19505673704754
109.0,122.42723730554424
106.0,108.58900628996928
128.0,93.9379717422198
111.0,107.69905660996926
147.0,117.99115028356734
113.0,125.33148088943076
195.0,120.66678415026027
220.0,189.59369788553747
199.0,185.834192604129
155.0,183.3355389631774
165.0,177.05389724586064
170.0,183.20621593448016
177.0,189.55311843402578
197.0,179.1390211852757
214.0,192.72399422908416
167.0,177.69553643995656
181.0,160.94877875554255
94.0,144.49277047215378
155.0,135.20714756680707
146.0,122.44545708823058
161.0,126.29631264049327
124.0,131.19051845563092
129.0,128.2271321689526
150.0,128.190493768874
132.0,126.90951116752136
115.0,122.12962690488452
138.0,112.44487231807801
52.0,43.83221020950541
37.0,43.442329028806554
46.0,42.47455743748781
30.0,42.93672517797641
28.0,44.009658780127005
63.0,41.08719483450691
37.0,46.07810147990939
51.0,43.698520304514076
43.0,44.10843491808226
54.0,41.19943021893766
51.0,43.430040072743225
36.0,42.703369129336764
43.0,43.87130169301785
44.0,38.71833787717784
47.0,42.98773892867539
54.0,42.00308544326511
42.0,42.64948070136067
39.0,41.47278677635848
34.0,41.968907527697965
40.0,45.14705189341495
50.0,42.12484989512277
60.0,47.90499924405928
38.0,46.33508561916486
46.0,49.961558004741654
160.0,100.90664982219721
135.0,142.59673209048265
79.0,127.57648903192876
102.0,127.85835649657409
110.0,109.57352229220677
105.0,108.78401206547906
153.0,142.65322194062804
168.0,138.84271722958962
224.0,170.33610604594958
178.0,180.2192714711539
177.0,180.01033009273314
199.0,169.8918114499261
173.0,190.06694046732457
159.0,183.39590469355633
162.0,180.50249174285455
196.0,169.6680587348685
200.0,187.15393970390878
204.0,181.10167680633887
170.0,183.07448026463652
83.0,134.3773833908146
93.0,103.3377655427272
103.0,103.51069010264365
110.0,104.865294129572
72.0,95.94594025816406
142.0,93.13811004082754
135.0,98.18402452147924
85.0,93.8298569754549
64.0,90.1044790316181
64.0,92.2661243295233
97.0,89.5858257088804
113.0,84.13655245633501
108.0,90.07197480429677
114.0,88.02279505065755
80.0,89.34852024602723
99.0,95.53531279931269
113.0,102.00967833491165
139.0,118.8799299798014
120.0,111.4022278023619
66.0,115.68790010109967
60.0,104.60099410692534
124.0,108.25025507237979
142.0,136.98247731603914
204.0,165.75681570664187
194.0,183.3328693267271
207.0,187.16541730259294
202.0,185.61467694641135
185.0,186.23635482786537
205.0,183.73739785890314
183.0,191.44377677556952
168.0,188.06726351708468
214.0,164.79766607492024
183.0,161.09660022666208
95.0,162.13017511649798
136.0,137.65704922501985
134.0,127.9081769476979
133.0,131.35367998664051
117.0,123.85886895580401
120.0,127.25612100638376
119.0,119.79904109305225
132.0,128.48297533916374
100.0,112.99323970690367
150.0,123.59279178596958
128.0,105.14458400105171
46.0,90.86210353413138
51.0,41.87258499998054
53.0,43.39950076383269
28.0,43.45149939193652
46.0,43.99225311112212
52.0,40.663452551924664
36.0,43.47320683187806
29.0,43.87920956821693
29.0,44.095927338615894
43.0,41.37922816749169
55.0,41.430540601129714
36.0,41.02567661561879
26.0,43.086391693961794
53.0,43.1475356686275
53.0,40.31476127896971
54.0,42.80160882214781
46.0,44.56996082490124
39.0,40.65590772806473
49.0,41.372770598999786
